% var.,PAGH,PAGM,PAFM,PAAH
-0.0141,1155.35,1134.42,185.09,178.02
-0.0303,1117.76,1100.07,172.56,175.3
-0.0039,1098.4,1095.8,168.15,175.24
-0.0016,1092.57,1094,169.39,171.27
-0.0373,1080.01,1053.15,164.89,168.85
-0.0253,1051.37,1026.55,159.39,164.94
0.0268,1050.6,1054.09,160.06,172.77
-0.0447,1063.9,1006.94,152.22,168.34
-0.0017,1001.91,1005.18,153.03,166.48
0.0318,1011.21,1037.14,159.79,167.78
-0.0236,1027.62,1012.63,155.39,166.68
0.006,1016.15,1018.68,156.11,168.39
0.0108,998.23,1029.71,155.1,171.61
0.0028,1046.39,1032.64,159.34,172.8
-0.022,1023.1,1009.95,157.2,168.38
0.01,1020.04,1020.09,157.93,170.05
0.0161,1030.26,1036.5,165.04,173.25
-0.011,1032,1025.06,166.32,172.44
0.0119,1031.47,1037.29,163.87,174.14
-0.0012,1046.89,1036.04,164.52,174.73
0.0097,1045.55,1046.1,164.83,175.82
0.0318,1061.2,1079.36,168.66,178.24
-0.0037,1079.01,1075.39,166.36,177.84
0.0131,1069.02,1089.45,168.1,172.8
-0.0111,1084.27,1077.32,166.28,165.72
-0.0033,1082.98,1073.81,165.84,165.24
-0.0477,1059.2,1022.64,159.69,162.94
0.0003,1029.75,1022.99,159.69,163.65
0.0199,1033.22,1043.31,174.16,164.22
-0.0114,1045.54,1031.45,173.59,162.32
-0.0125,1034.42,1018.58,172,165.26
0.0218,1016.3,1040.75,173.86,169.1
-0.0141,1034,1026.05,176.07,176.57
0.0002,1025.37,1026.3,174.02,176.89
0.0241,1019.61,1051,176.61,183.83
0.008,1053.89,1059.46,177.97,185.16
-0.0008,1064.62,1058.59,178.92,186.05
0.0287,1064.1,1088.95,182.66,187.36
0.0152,1095,1105.47,185.53,190.04
-0.0019,1100.41,1103.38,186.99,188.59
0.0029,1105.57,1106.6,186.64,188.15
-0.0196,1096.9,1084.87,184.32,186.44
-0.0007,1085.09,1084.09,183.2,188.18
-0.0026,1081.46,1081.26,183.76,186.99
-0.0107,1066,1069.64,182.68,186.31
0.0134,1079,1084.01,184.49,187.63
-0.008,1089.8,1075.31,183.8,187.16
0.0099,1070,1085.96,186.9,188.36
-0.0005,1086.9,1085.45,185.93,188.15
-0.0013,1086.55,1084.08,184.92,188.58
-0.0148,1076,1068.07,185.74,187.9
0.0088,1073.48,1077.47,187.67,187.5
0.0209,1082,1100,191.78,186.87
0.0318,1112.87,1135,193.99,190.24
0.0159,1138.5,1153.04,193.28,191.83
-0.0018,1154.66,1151.02,192.94,193.31
-0.0035,1152.77,1146.95,191.34,193.98
-0.0109,1144.58,1134.42,188.18,193.46
-0.0015,1131.21,1132.71,189.1,191.7
0.0072,1132.94,1140.9,191.54,191.23
0.0064,1141.02,1148.19,192.4,192.28
-0.0034,1152.28,1144.23,192.41,190.7
0.0139,1152.21,1160.11,196.81,190.8
-0.0007,1159.92,1159.27,195.85,188.84
0.021,1152.69,1183.58,198.31,188.74
-0.0041,1170.11,1178.69,197.49,185.69
0.0046,1183.3,1184.07,202,186.5
-0.0124,1185.51,1169.44,201.5,185.46
-0.0001,1171.49,1169.29,201.74,184.92
-0.0257,1155,1139.28,196.35,182.17
-0.0058,1144.14,1132.62,199,184.43
-0.0138,1136,1116.94,195.84,184.16
0.0088,1112.39,1126.78,196.23,185.5
0.0021,1132.31,1129.19,194.32,185.11
0.0114,1115.35,1142.11,197.36,187.18
-0.0226,1149.42,1116.28,192.73,183.92
0.0224,1124.6,1141.29,198.45,185.4
0.0121,1141.77,1155.08,203.23,187.97
0.0106,1160,1167.28,204.74,190.58
-0.0001,1169.99,1167.14,203.54,190.35
0.0037,1155.62,1171.46,202.54,187.88
0.0254,1174.86,1201.26,206.92,191.03
0.0026,1202.8,1204.42,207.32,191.33
-0.0066,1203.81,1196.51,207.23,190.91
0.0138,1182.74,1213.08,209.99,191.45
-0.0001,1208.53,1212.91,209.36,190.4
-0.0114,1206.65,1199.1,208.09,191.88
-0.001,1199.24,1197.88,209.94,191.44
0.011,1195.66,1211,210.91,191.61
0.0389,1271,1258.15,214.67,193
0.0141,1252.62,1275.94,217.5,194.82
0.0075,1267.18,1285.5,176.26,194.21
-0.0254,1289.12,1252.89,174.89,190.98
-0.0182,1245.05,1230.04,171.06,189.91
-0.0023,1231.71,1227.22,172.58,190.29
0.0047,1239.11,1232.99,171.65,201.5
0.0066,1218.5,1241.13,176.37,207.39
-0.0024,1245.18,1238.16,177.78,207.99
-0.0004,1241.61,1237.67,185.69,209.07
0.0147,1252.01,1255.84,183.81,207.11
0.0044,1256.72,1261.33,185.18,207.25
0.0025,1262.73,1264.46,183.09,208.88
-0.0095,1259.18,1252.51,180.26,207.53
-0.0031,1251.2,1248.64,180.05,208.87
0.0076,1252.5,1258.14,181.11,209.75
-0.0206,1244.28,1232.22,179.53,210.24
-0.0066,1241.99,1224.06,174.7,213.32
-0.0067,1222.04,1215.85,173.8,217.58
0.005,1220.66,1221.95,172.5,215.46
-0.0037,1223.02,1217.41,172.62,215.04
0.0036,1214.22,1221.75,173.64,215.05
-0.0005,1219.88,1221.16,172.9,215.49
0.0128,1226,1236.75,174.65,216.16
0.0158,1244.14,1256.27,177.46,217.94
